Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26
2,3,2,3,4,3,4,5,4,5,6,5,6,7,6,7,8,7,8,9,8,9,10,9,10,11,10,11,12,11,12,13,12,13,14,13,14,15,14,15,16,15,16,17,16,17,18,17,18,19
2,2,4,2,3,3,5,3,4,4,6,4,5,5,7,5,6,6,8,6,7,7,9,7,8,8,10,8,9,9,11,9,10,10,12,10,11,11,13,11,12,12,14,12,13,13,15,13,14,14
2,3,3,5,2,3,4,4,6,3,4,5,5,7,4,5,6,6,8,5,6,7,7,9,6,7,8,8,10,7,8,9,9,11,8,9,10,10,12,9,10,11,11,13,10,11,12,12,14,11
2,2,2,3,6,2,3,3,3,4,7,3,4,4,4,5,8,4,5,5,5,6,9,5,6,6,6,7,10,6,7,7,7,8,11,7,8,8,8,9,12,8,9,9,9,10,13,9,10,10
2,3,4,3,4,7,2,3,4,5,4,5,8,3,4,5,6,5,6,9,4,5,6,7,6,7,10,5,6,7,8,7,8,11,6,7,8,9,8,9,12,7,8,9,10,9,10,13,8,9
2,2,3,2,4,4,8,2,3,3,4,3,5,5,9,3,4,4,5,4,6,6,10,4,5,5,6,5,7,7,11,5,6,6,7,6,8,8,12,6,7,7,8,7,9,9,13,7,8,8
2,3,2,5,3,3,5,9,2,3,4,3,6,4,4,6,10,3,4,5,4,7,5,5,7,11,4,5,6,5,8,6,6,8,12,5,6,7,6,9,7,7,9,13,6,7,8,7,10,8
2,2,4,3,2,3,4,5,10,2,3,3,5,4,3,4,5,6,11,3,4,4,6,5,4,5,6,7,12,4,5,5,7,6,5,6,7,8,13,5,6,6,8,7,6,7,8,9,14,6
2,3,3,3,6,3,5,5,6,11,2,3,4,4,4,7,4,6,6,7,12,3,4,5,5,5,8,5,7,7,8,13,4,5,6,6,6,9,6,8,8,9,14,5,6,7,7,7,10,7
2,2,2,2,4,2,4,3,4,6,12,2,3,3,3,3,5,3,5,4,5,7,13,3,4,4,4,4,6,4,6,5,6,8,14,4,5,5,5,5,7,5,7,6,7,9,15,5,6,6
2,3,4,5,4,7,3,4,4,5,7,13,2,3,4,5,6,5,8,4,5,5,6,8,14,3,4,5,6,7,6,9,5,6,6,7,9,15,4,5,6,7,8,7,10,6,7,7,8,10
2,2,3,3,3,4,2,3,6,4,6,7,14,2,3,3,4,4,4,5,3,4,7,5,7,8,15,3,4,4,5,5,5,6,4,5,8,6,8,9,16,4,5,5,6,6,6,7,5,6
2,3,2,3,2,3,8,3,3,3,6,5,8,15,2,3,4,3,4,3,4,9,4,4,4,7,6,9,16,3,4,5,4,5,4,5,10,5,5,5,8,7,10,17,4,5,6,5,6,5
2,2,4,2,6,3,5,2,4,4,4,4,6,8,16,2,3,3,5,3,7,4,6,3,5,5,5,5,7,9,17,3,4,4,6,4,8,5,7,4,6,6,6,6,8,10,18,4,5,5
2,3,3,5,4,3,4,9,3,5,7,5,5,7,9,17,2,3,4,4,6,5,4,5,10,4,6,8,6,6,8,10,18,3,4,5,5,7,6,5,6,11,5,7,9,7,7,9,11,19
2,2,2,3,4,2,5,5,2,3,4,3,5,5,6,9,18,2,3,3,3,4,5,3,6,6,3,4,5,4,6,6,7,10,19,3,4,4,4,5,6,4,7,7,4,5,6,5,7,7
2,3,4,3,3,7,4,5,10,3,4,5,4,7,7,7,10,19,2,3,4,5,4,4,8,5,6,11,4,5,6,5,8,8,8,11,20,3,4,5,6,5,5,9,6,7,12,5,6,7
2,2,3,2,2,4,3,3,6,2,4,3,8,4,4,5,8,10,20,2,3,3,4,3,3,5,4,4,7,3,5,4,9,5,5,6,9,11,21,3,4,4,5,4,4,6,5,5,8,4
2,3,2,5,6,3,2,4,4,11,3,3,5,3,4,5,6,7,11,21,2,3,4,3,6,7,4,3,5,5,12,4,4,6,4,5,6,7,8,12,22,3,4,5,4,7,8,5,4,6
2,2,4,3,4,3,8,3,4,6,2,3,6,5,4,5,6,6,8,11,22,2,3,3,5,4,5,4,9,4,5,7,3,4,7,6,5,6,7,7,9,12,23,3,4,4,6,5,6,5
2,3,3,3,4,3,5,3,6,5,12,3,5,4,9,5,8,6,8,9,12,23,2,3,4,4,4,5,4,6,4,7,6,13,4,6,5,10,6,9,7,9,10,13,24,3,4,5,5,5
2,2,2,2,3,2,4,2,3,4,7,2,4,4,4,3,6,4,8,6,8,12,24,2,3,3,3,3,4,3,5,3,4,5,8,3,5,5,5,4,7,5,9,7,9,13,25,3,4,4
2,3,4,5,2,7,5,9,4,3,6,13,3,4,3,6,4,5,5,5,7,9,13,25,2,3,4,5,6,3,8,6,10,5,4,7,14,4,5,4,7,5,6,6,6,8,10,14,26,3
2,2,3,3,6,4,4,5,3,4,6,7,2,3,4,4,10,4,6,5,6,7,10,13,26,2,3,3,4,4,7,5,5,6,4,5,7,8,3,4,5,5,11,5,7,6,7,8,11,14
2,3,2,3,4,3,3,5,2,5,4,5,14,3,3,7,5,3,5,9,5,7,9,9,14,27,2,3,4,3,4,5,4,4,6,3,6,5,6,15,4,4,8,6,4,6,10,6,8,10
2,2,4,2,4,3,2,3,10,3,7,4,8,2,4,3,4,6,4,4,4,6,7,7,10,14,28,2,3,3,5,3,5,4,3,4,11,4,8,5,9,3,5,4,5,7,5,5,5,7
2,3,3,5,3,3,8,4,6,3,4,5,6,15,3,5,5,6,11,5,6,5,9,9,8,11,15,29,2,3,4,4,6,4,4,9,5,7,4,5,6,7,16,4,6,6,7,12,6,7
2,2,2,3,2,2,5,3,4,2,4,3,5,8,2,3,6,3,6,3,4,6,6,5,6,8,10,15,30,2,3,3,3,4,3,3,6,4,5,3,5,4,6,9,3,4,7,4,7,4
2,3,4,3,6,7,4,3,4,11,4,5,5,7,16,3,4,5,5,7,4,7,10,7,6,7,10,11,16,31,2,3,4,5,4,7,8,5,4,5,12,5,6,6,8,17,4,5,6,6
2,2,3,2,4,4,5,2,6,6,3,3,4,5,9,2,4,4,8,4,12,4,5,4,6,6,8,8,12,16,32,2,3,3,4,3,5,5,6,3,7,7,4,4,5,6,10,3,5,5
2,3,2,5,4,3,4,9,3,5,2,3,8,7,6,17,3,3,4,4,5,3,6,5,5,7,6,8,9,11,17,33,2,3,4,3,6,5,4,5,10,4,6,3,4,9,8,7,18,4
2,2,4,3,3,3,3,5,4,4,12,3,5,4,7,9,2,3,4,5,5,7,4,5,7,5,10,7,10,9,12,17,34,2,3,3,5,4,4,4,4,6,5,5,13,4,6,5,8,10
2,3,3,3,2,3,2,5,3,3,7,3,6,3,4,7,18,3,5,3,3,5,13,5,4,11,6,5,10,7,11,13,18,35,2,3,4,4,4,3,4,3,6,4,4,8,4,7,4,5
2,2,2,2,6,2,8,3,2,4,6,2,5,5,4,5,10,2,4,3,4,4,6,3,5,5,4,5,6,6,8,9,12,18,36,2,3,3,3,3,7,3,9,4,3,5,7,3,6,6
2,3,4,5,4,7,5,4,10,5,6,13,4,4,4,5,8,19,3,4,7,9,7,8,4,5,6,5,7,7,7,9,10,13,19,37,2,3,4,5,6,5,8,6,5,11,6,7,14,5
2,2,3,3,4,4,4,3,6,3,4,7,3,4,9,5,6,10,2,3,6,4,4,5,14,4,8,7,6,7,8,7,9,10,14,19,38,2,3,3,4,4,5,5,5,4,7,4,5,8
2,3,2,3,3,3,5,3,4,3,7,5,2,4,4,5,6,7,20,3,3,5,6,4,7,3,4,5,12,5,11,7,7,11,12,13,20,39,2,3,4,3,4,4,4,6,4,5,4,8
2,2,4,2,2,3,4,2,4,2,4,4,14,3,3,3,8,6,11,2,4,4,4,3,4,8,4,4,7,4,8,5,8,8,8,10,14,20,40,2,3,3,5,3,3,4,5,3,5,3
2,3,3,5,6,3,3,9,6,11,4,5,8,3,4,6,6,6,8,21,3,5,5,5,5,7,15,5,6,7,5,6,6,11,11,9,11,15,21,41,2,3,4,4,6,7,4,4,10,7
2,2,2,3,4,2,2,5,3,6,4,3,6,2,3,4,4,4,8,11,2,3,4,3,10,5,6,3,6,4,8,5,6,6,6,7,10,11,14,21,42,2,3,3,3,4,5,3,3,6
2,3,4,3,4,7,8,5,4,5,3,5,5,15,4,7,10,5,8,9,22,3,4,4,6,4,5,9,4,7,6,13,7,8,7,7,8,10,13,15,22,43,2,3,4,5,4,5,8,9
2,2,3,2,3,4,5,3,3,4,2,3,5,8,3,3,5,4,5,6,12,2,4,3,8,6,6,5,16,4,6,5,4,6,12,6,8,8,12,11,16,22,44,2,3,3,4,3,4,5
2,3,2,5,2,3,4,4,2,3,12,3,4,7,2,5,4,3,6,5,8,23,3,3,3,5,3,8,7,3,5,9,6,5,5,5,8,9,8,9,12,15,23,45,2,3,4,3,6,3
2,2,4,3,6,3,5,3,10,4,7,3,8,5,16,3,5,6,5,5,7,12,2,3,6,5,6,4,6,9,4,5,5,8,6,6,6,8,8,9,10,12,16,23,46,2,3,3,5,4
2,3,3,3,4,3,4,3,6,5,6,3,5,7,9,3,6,6,4,9,6,9,24,3,5,7,4,11,5,6,17,5,5,6,14,6,7,7,12,9,12,11,14,17,24,47,2,3,4,4
2,2,2,2,4,2,3,2,4,3,6,2,6,4,6,2,4,3,11,4,5,7,13,2,4,4,4,4,4,4,8,3,4,6,6,4,6,8,6,6,12,8,11,12,16,24,48,2,3,3
2,3,4,5,3,7,2,9,4,3,4,13,5,3,7,17,4,5,6,5,4,7,10,25,3,4,5,3,7,5,6,10,4,5,4,7,5,9,13,9,7,7,9,13,13,17,25,49,2,3
2,2,3,3,2,4,8,5,6,2,7,7,4,5,4,9,3,4,5,3,6,6,9,13,2,3,4,4,5,3,6,6,18,4,4,5,9,5,6,5,7,7,8,9,10,13,18,25,50,2
